itemLabel,date_of_birth,date_of_death
Mahavira,-598-01-01T00:00:00Z,-526-01-01T00:00:00Z
Rishabhanatha,,
Thomas Aquinas,1225-02-04T00:00:00Z,1274-03-14T00:00:00Z
Gautama Buddha,-565-01-01T00:00:00Z,-482-01-01T00:00:00Z
Al-Ghazali,1058-01-01T00:00:00Z,1111-12-26T00:00:00Z
Pythagoras,t454456345,-499-01-01T00:00:00Z
Vilfredo Pareto,1848-07-15T00:00:00Z,1923-08-19T00:00:00Z
Ibn al-Ḥaytham,0965-01-01T00:00:00Z,1039-01-01T00:00:00Z
Ibn al-Ḥaytham,0965-01-01T00:00:00Z,1040-01-01T00:00:00Z
Avempace,1080-01-01T00:00:00Z,1138-01-01T00:00:00Z
Abu Ma'shar al-Balkhi,0787-08-14T00:00:00Z,0886-03-13T00:00:00Z
Otto Bauer,1881-09-05T00:00:00Z,1938-07-04T00:00:00Z
Thomas Jefferson,1743-04-13T00:00:00Z,1826-07-04T00:00:00Z
James Madison,1751-03-16T00:00:00Z,1836-06-28T00:00:00Z
Al-Biruni,0973-09-10T00:00:00Z,1048-12-15T00:00:00Z
Hypatia,0370-01-01T00:00:00Z,0415-01-01T00:00:00Z
Auguste Comte,1798-01-19T00:00:00Z,1857-09-05T00:00:00Z
Johann Amos Comenius,1592-03-28T00:00:00Z,1670-11-15T00:00:00Z
Anton Stres,1942-12-15T00:00:00Z,
Jacques Maritain,1882-11-18T00:00:00Z,1973-04-28T00:00:00Z
Kenelm Digby,1603-07-11T00:00:00Z,1665-06-11T00:00:00Z
Ibn ul-Arabi,1165-08-04T00:00:00Z,1240-11-17T00:00:00Z
Charles Babbage,1791-12-26T00:00:00Z,1871-10-18T00:00:00Z
Octavio Paz,1914-03-31T00:00:00Z,1998-04-19T00:00:00Z
Octavio Paz,1914-03-31T00:00:00Z,1998-04-20T00:00:00Z
Lucretius,-099-01-01T00:00:00Z,-054-01-01T00:00:00Z
Louis Claude de Saint-Martin,1743-01-18T00:00:00Z,1803-10-14T00:00:00Z
Louis Claude de Saint-Martin,1743-01-18T00:00:00Z,1803-10-15T00:00:00Z
Edmund Halley,1656-11-08T00:00:00Z,1742-01-25T00:00:00Z
Swami Vivekananda,1863-01-12T00:00:00Z,1902-07-04T00:00:00Z
Rudolf Christoph Eucken,1846-01-05T00:00:00Z,1926-09-14T00:00:00Z
Rudolf Christoph Eucken,1846-01-05T00:00:00Z,1926-09-15T00:00:00Z
Jalil Gibran,1883-01-06T00:00:00Z,1931-04-10T00:00:00Z
Zhuangzi,-368-01-01T00:00:00Z,-285-01-01T00:00:00Z
Ralph Waldo Emerson,1803-05-25T00:00:00Z,1882-04-27T00:00:00Z
Ernst Haeckel,1834-02-16T00:00:00Z,1919-08-09T00:00:00Z
Martin Heidegger,1889-09-26T00:00:00Z,1976-05-26T00:00:00Z
Ukshin Hoti,1943-01-01T00:00:00Z,1999-01-01T00:00:00Z
Albert Schweitzer,1875-01-14T00:00:00Z,1965-09-04T00:00:00Z
Maurice Maeterlinck,1862-08-29T00:00:00Z,1949-05-05T00:00:00Z
Maurice Maeterlinck,1862-08-29T00:00:00Z,1949-05-06T00:00:00Z
John Stuart Mill,1806-05-20T00:00:00Z,1873-05-08T00:00:00Z
Rambhadracharya,1950-01-14T00:00:00Z,
František Lorenz,1872-12-24T00:00:00Z,1957-05-24T00:00:00Z
Günter Ralfs,1899-12-17T00:00:00Z,1960-04-20T00:00:00Z
Erich Fromm,1900-03-23T00:00:00Z,1980-03-18T00:00:00Z
Oswald Spengler,1880-05-29T00:00:00Z,1936-05-08T00:00:00Z
Samuel von Pufendorf,1632-01-08T00:00:00Z,1694-10-13T00:00:00Z
Ernst Cassirer,1874-07-28T00:00:00Z,1945-04-13T00:00:00Z
Moritz Schlick,1882-04-14T00:00:00Z,1936-06-22T00:00:00Z
Franz Brentano,1838-01-16T00:00:00Z,1917-03-17T00:00:00Z
David Strauss,1808-01-27T00:00:00Z,1874-02-08T00:00:00Z
Niklas Luhmann,1927-12-08T00:00:00Z,1998-11-06T00:00:00Z
Ernst Bloch,1885-07-08T00:00:00Z,1977-08-04T00:00:00Z
Ernst Zermelo,1871-07-27T00:00:00Z,1953-05-21T00:00:00Z
