itemLabel,date_of_birth,date_of_death
Zhi Dun,0314-01-01T00:00:00Z,0366-01-01T00:00:00Z
Edward Dembowski,1822-05-31T00:00:00Z,1846-02-27T00:00:00Z
Edward Fredkin,1934-01-01T00:00:00Z,
Edward Gleason Spaulding,1873-08-06T00:00:00Z,1940-01-01T00:00:00Z
Edward Grant,1926-04-06T00:00:00Z,
Walter Hoeres,1928-05-06T00:00:00Z,2016-01-14T00:00:00Z
Vācaspati Miśra,0900-01-01T00:00:00Z,0980-01-01T00:00:00Z
Jörn Müller,1969-08-11T00:00:00Z,
Johann Georg Arnold Oelrichs,1767-06-08T00:00:00Z,1791-03-07T00:00:00Z
Miklós Szalai,1964-09-20T00:00:00Z,
Katharina Comoth,1940-12-14T00:00:00Z,
Satyrus the Peripatetic,-300-01-01T00:00:00Z,
Efraim Liljequist,1865-09-24T00:00:00Z,1941-08-20T00:00:00Z
Johann August Heinrich Ulrich,1746-04-16T00:00:00Z,1813-02-04T00:00:00Z
Egon Daldorf,1933-01-01T00:00:00Z,
Ibn Zafar,1104-01-01T00:00:00Z,1170-01-01T00:00:00Z
Ignacio Ellacuría,1930-11-09T00:00:00Z,1989-11-16T00:00:00Z
Crates de Tars,,
Lewis S. Ford,1933-11-18T00:00:00Z,
Franz Josef Brecht,1899-03-16T00:00:00Z,1982-09-23T00:00:00Z
Ulrich Ruschig,1948-07-10T00:00:00Z,
Eike von Savigny,1941-02-10T00:00:00Z,
Hans-Günther Thalheim,1924-05-05T00:00:00Z,
Paul van Buren,1924-04-20T00:00:00Z,1998-06-18T00:00:00Z
Philip Mazzei,1730-12-25T00:00:00Z,1816-03-19T00:00:00Z
Ernst Topitsch,1919-03-20T00:00:00Z,2003-01-26T00:00:00Z
Wolfgang Kluxen,1922-10-31T00:00:00Z,2007-05-12T00:00:00Z
Francesc Eiximenis,1330-01-01T00:00:00Z,1409-04-01T00:00:00Z
Romano Amerio,1905-06-22T00:00:00Z,1997-01-16T00:00:00Z
Herman Jan de Vleeschauwer,1899-07-09T00:00:00Z,1986-08-15T00:00:00Z
Robert Brandom,1950-03-13T00:00:00Z,
Severos,,
Sándor Sólymos,1952-03-12T00:00:00Z,
Nicolás Gómez Dávila,1913-05-18T00:00:00Z,1994-05-17T00:00:00Z
Paulus Lenz-Medoc,1903-08-10T00:00:00Z,1987-09-07T00:00:00Z
Richard von Kralik,1852-10-01T00:00:00Z,1934-02-04T00:00:00Z
Peter Ehlen,1934-05-16T00:00:00Z,
Béla Tettamanti,1884-09-30T00:00:00Z,1959-06-28T00:00:00Z
Ishida Baigan,1685-10-12T00:00:00Z,1744-10-29T00:00:00Z
Olivier Razac,1973-01-01T00:00:00Z,
Wacław Mejbaum,1933-01-01T00:00:00Z,2002-11-24T00:00:00Z
Ekkehard Martens,1943-11-02T00:00:00Z,
John Peckham,1227-01-01T00:00:00Z,1292-12-15T00:00:00Z
Peter Ruben,1933-12-01T00:00:00Z,
Johann Evangelist Hafner,1963-05-17T00:00:00Z,
Thomas M. Schmidt,1960-01-01T00:00:00Z,
Albert Brudzewski,1445-01-01T00:00:00Z,1497-01-01T00:00:00Z
Elemotho,2000-01-01T00:00:00Z,
Georg Scherer,1928-04-30T00:00:00Z,2012-05-13T00:00:00Z
Stanley Hauerwas,1940-07-24T00:00:00Z,
Elisabeth Lloyd,1956-09-03T00:00:00Z,
Erhard Albrecht,1925-10-08T00:00:00Z,
Eliyahu Eliezer Dessler,1892-01-01T00:00:00Z,1953-12-30T00:00:00Z
Elizabeth S. Anderson,1959-12-05T00:00:00Z,
Jules Barthélemy-Saint-Hilaire,1805-08-19T00:00:00Z,1895-11-24T00:00:00Z
Giuseppe Pecci,1807-12-13T00:00:00Z,1890-02-08T00:00:00Z
Elmar Treptow,1937-05-17T00:00:00Z,
Massimo Scaligero,1906-09-17T00:00:00Z,1980-01-26T00:00:00Z
Mathias Schneid,1840-07-31T00:00:00Z,1893-12-12T00:00:00Z
Matt Cohen,1942-12-30T00:00:00Z,1999-12-02T00:00:00Z
Matthias Gatzemeier,1937-02-10T00:00:00Z,
Matthias Rath,1959-05-05T00:00:00Z,
Maurice Frydman,1901-01-01T00:00:00Z,1976-03-09T00:00:00Z
Max Brahn,1873-06-15T00:00:00Z,1944-10-01T00:00:00Z
Max Frischeisen-Köhler,1878-07-19T00:00:00Z,1923-10-22T00:00:00Z
Maximilian Forschner,1943-04-19T00:00:00Z,
Mayotte Bollack,2000-01-01T00:00:00Z,
Mehdi Haeri Yazdi,1923-01-01T00:00:00Z,1999-07-08T00:00:00Z
Melchior Cornaeus,1598-04-01T00:00:00Z,1665-03-13T00:00:00Z
Helga Kuhse,,
Suzanne Lilar,1901-05-21T00:00:00Z,1992-12-11T00:00:00Z
Micha Josef Berdyczewski,1865-08-07T00:00:00Z,1921-11-18T00:00:00Z
Michael-Thomas Liske,1954-01-08T00:00:00Z,
Michael Benedikt,1928-11-17T00:00:00Z,2012-08-13T00:00:00Z
Michael Bösch,1958-06-13T00:00:00Z,
Michael Großheim,1962-04-11T00:00:00Z,
Michael Hampe,1961-06-18T00:00:00Z,
Michael Hauskeller,1964-01-01T00:00:00Z,
Michael Huemer,1969-12-27T00:00:00Z,
Michael Kausch,1877-08-18T00:00:00Z,1942-12-18T00:00:00Z
Joke Johannetta Hermsen,1961-07-29T00:00:00Z,
Michael Pauen,1956-02-19T00:00:00Z,
Michael Watson,1623-08-17T00:00:00Z,1665-12-07T00:00:00Z
Alexandre Saint-Yves d'Alveydre,1842-03-26T00:00:00Z,1909-02-05T00:00:00Z
Michael Lunin,1787-12-29T00:00:00Z,1845-12-03T00:00:00Z
Philip Kitcher,1947-02-20T00:00:00Z,
Johannes Jacobus Poortman,1896-04-26T00:00:00Z,1970-12-21T00:00:00Z
Jean Papire Masson,1544-05-16T00:00:00Z,1611-01-09T00:00:00Z
Morton White,1917-04-29T00:00:00Z,2016-05-27T00:00:00Z
Mubabinge Bilolo,1953-01-15T00:00:00Z,
Jarig Jelles,1620-01-01T00:00:00Z,1683-02-22T00:00:00Z
Mustafa 'Abd al-Raziq,1885-01-01T00:00:00Z,1947-02-15T00:00:00Z
Ephrem Mtsire,,1101-01-25T00:00:00Z
Ivan Zabelin,1820-09-29T00:00:00Z,1909-01-13T00:00:00Z
Frederik Christian Sibbern,1785-07-18T00:00:00Z,1872-12-16T00:00:00Z
Xenarchus of Seleucia,,
Claudius Maximus,0101-01-01T00:00:00Z,0161-01-01T00:00:00Z
Pieter de la Court,1618-01-01T00:00:00Z,1685-04-28T00:00:00Z
Arthur Collier,1680-10-12T00:00:00Z,1732-01-01T00:00:00Z
Jan Hoogland,1959-01-01T00:00:00Z,
Albert Chernenko,1935-01-06T00:00:00Z,2009-04-11T00:00:00Z
Q1962049,1882-12-13T00:00:00Z,1952-07-12T00:00:00Z
Hovhannes Imastaser,1045-01-01T00:00:00Z,1129-01-01T00:00:00Z
Nerses of Lambron,1153-01-01T00:00:00Z,1198-01-01T00:00:00Z
Pierre Poiret,1646-04-15T00:00:00Z,1719-05-21T00:00:00Z
Najm al-Din Razi,1177-01-01T00:00:00Z,1247-01-01T00:00:00Z
Najm al-Din Razi,1177-01-01T00:00:00Z,1256-01-01T00:00:00Z
Nate Ackerman,1978-03-04T00:00:00Z,
Maksim Antonovich,1835-05-21T00:00:00Z,1918-11-14T00:00:00Z
Sergei Rubinstein,1889-06-30T00:00:00Z,1960-01-11T00:00:00Z
Stanisław Vincenz,1888-11-30T00:00:00Z,1971-01-28T00:00:00Z
Jean Soldini,1956-03-13T00:00:00Z,
Tyler Burge,1946-01-01T00:00:00Z,
Peter van Inwagen,1942-09-21T00:00:00Z,
Nayef Al-Rodhan,1959-01-01T00:00:00Z,
Innokentiy Gizel,1600-01-01T00:00:00Z,1683-11-28T00:00:00Z
Václav Bělohradský,1944-01-17T00:00:00Z,
Masao Abe,1915-01-01T00:00:00Z,2006-09-10T00:00:00Z
Q1977826,,
Evgeny Torchinov,1956-08-22T00:00:00Z,2003-07-12T00:00:00Z
Luis Filipe Teixeira,1959-11-03T00:00:00Z,
Menno Lievers,1959-08-20T00:00:00Z,
Barbara Cassin,1947-10-24T00:00:00Z,
Nicolas Antoine Boulanger,1722-11-11T00:00:00Z,1759-09-16T00:00:00Z
Nicolaus Biceps,1400-01-01T00:00:00Z,1399-01-01T00:00:00Z
Francesco Giorgi,1466-01-01T00:00:00Z,1540-04-01T00:00:00Z
Herman Dooyeweerd,1894-10-07T00:00:00Z,1977-02-12T00:00:00Z
Niels Öffenberger,1930-03-09T00:00:00Z,
Michael Mel,1959-01-01T00:00:00Z,
Pinchas Polonsky,1958-02-11T00:00:00Z,
Nikolaus Koch,1912-11-02T00:00:00Z,1991-09-08T00:00:00Z
Giuseppa Barbapiccola,1702-01-01T00:00:00Z,1740-01-01T00:00:00Z
Lou Marinoff,1951-10-18T00:00:00Z,
Keiji Nishitani,1900-02-27T00:00:00Z,1990-11-24T00:00:00Z
Abbasgulu Bakikhanov,1794-06-21T00:00:00Z,1847-05-31T00:00:00Z
Francis of Mayrone,1280-01-01T00:00:00Z,1328-01-01T00:00:00Z
Brethren of Purity,,
Arignote,-530-01-01T00:00:00Z,-450-01-01T00:00:00Z
Oleksiy Onyschenko,1933-03-17T00:00:00Z,
Petrus Martinez de Osma,,1480-01-01T00:00:00Z
Norbert Hinske,1931-01-24T00:00:00Z,
Dirk Verhofstadt,1955-01-01T00:00:00Z,
John Lewis,1889-02-01T00:00:00Z,1976-02-12T00:00:00Z
Ton Lemaire,1941-10-06T00:00:00Z,
Józef Gołuchowski,1797-01-01T00:00:00Z,1858-11-22T00:00:00Z
Pedro Laín Entralgo,1908-02-15T00:00:00Z,2001-06-05T00:00:00Z
Désiré Scheltens,1919-01-01T00:00:00Z,2009-01-01T00:00:00Z
Nuel Belnap,1930-05-01T00:00:00Z,
Ajahn Sumedho,1934-07-27T00:00:00Z,
Peeter Torop,1950-11-28T00:00:00Z,
Ichthyas,,
Peter van Lieshout,1958-01-01T00:00:00Z,
Mulla Sadra,1571-01-01T00:00:00Z,1636-01-01T00:00:00Z
Theo de Boer,1932-01-01T00:00:00Z,
Mihhail Lotman,1952-09-02T00:00:00Z,
Theodorus Christiaan Wouter Oudemans,1951-10-30T00:00:00Z,
Dick Willems,1954-01-01T00:00:00Z,
Ammonius Hermiae,0440-01-01T00:00:00Z,0523-01-01T00:00:00Z
Jean Piaget,1896-08-09T00:00:00Z,1980-09-16T00:00:00Z
Angelius Johann Daniel Aepinus,1718-05-10T00:00:00Z,1784-02-28T00:00:00Z
Carl Hilty,1833-02-28T00:00:00Z,1909-10-12T00:00:00Z
Alain de Botton,1969-12-20T00:00:00Z,
Annemarie Schwarzenbach,1908-05-23T00:00:00Z,1942-11-15T00:00:00Z
Anton Marty,1847-10-18T00:00:00Z,1914-10-01T00:00:00Z
Frithjof Schuon,1907-06-18T00:00:00Z,1998-05-05T00:00:00Z
Titus Burckhardt,1908-10-24T00:00:00Z,1984-01-15T00:00:00Z
Kurt Sternberg,1885-06-19T00:00:00Z,1942-09-21T00:00:00Z
Charles Bonnet,1720-03-13T00:00:00Z,1793-05-20T00:00:00Z
Thomas of Erfurt,,
Denis de Rougemont,1906-09-08T00:00:00Z,1985-12-06T00:00:00Z
Johann Jakob Bachofen,1815-12-22T00:00:00Z,1887-11-25T00:00:00Z
Marquis de Sade,1740-06-02T00:00:00Z,1814-12-02T00:00:00Z
Oswald Schwemmer,1941-06-10T00:00:00Z,
Henri-Frédéric Amiel,1821-09-27T00:00:00Z,1881-05-11T00:00:00Z
Johann Kaspar Lavater,1741-11-15T00:00:00Z,1801-01-02T00:00:00Z
Richard Tarnas,1950-02-21T00:00:00Z,
Alexandre Vinet,1797-06-17T00:00:00Z,1847-05-04T00:00:00Z
Gottfried Ploucquet,1716-08-25T00:00:00Z,1790-09-13T00:00:00Z
Christian Gottlieb Selle,1748-10-07T00:00:00Z,1800-11-09T00:00:00Z
Ernst Ehrlich,1921-03-27T00:00:00Z,2007-10-21T00:00:00Z
Günther Patzig,1926-09-28T00:00:00Z,
Andreas Weber,1967-11-04T00:00:00Z,
Wolfram Eilenberger,1972-08-07T00:00:00Z,
Isaak Iselin,1728-03-07T00:00:00Z,1782-07-15T00:00:00Z
Cratylus,-500-01-01T00:00:00Z,t461243357
William James,1842-01-11T00:00:00Z,1910-08-26T00:00:00Z
Johann Baptist Schad,1758-11-30T00:00:00Z,1834-01-13T00:00:00Z
Parmenides,-500-01-01T00:00:00Z,-449-01-01T00:00:00Z
Michael Landmann,1913-12-16T00:00:00Z,1984-01-25T00:00:00Z
Hans Barth,1904-02-25T00:00:00Z,1965-02-12T00:00:00Z
Paul Hoyningen-Huene,1946-07-31T00:00:00Z,
William Alston,1921-11-29T00:00:00Z,2009-09-13T00:00:00Z
Miklós Almási,1932-09-26T00:00:00Z,
Thomas Paine,1737-01-29T00:00:00Z,1809-06-08T00:00:00Z
Thomas Paine,1737-02-09T00:00:00Z,1809-06-08T00:00:00Z
Ignacio Burk,1905-01-24T00:00:00Z,1984-07-02T00:00:00Z
Ferid Muhić,1944-01-01T00:00:00Z,
William Hazlitt,1778-04-10T00:00:00Z,1830-09-18T00:00:00Z
Johann Christoph Schwab,1743-12-10T00:00:00Z,1821-04-15T00:00:00Z
Peter Schütt,1939-12-10T00:00:00Z,
Hugo Kołłątaj,1750-04-01T00:00:00Z,1812-02-28T00:00:00Z
Maimonides,1135-01-01T00:00:00Z,1204-12-20T00:00:00Z
Johan Vilhelm Snellman,1806-05-12T00:00:00Z,1881-07-04T00:00:00Z
Claude Lévi-Strauss,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z
István Mészáros,1930-12-19T00:00:00Z,
Éva Ancsel,1927-05-23T00:00:00Z,1993-05-01T00:00:00Z
Lyubov Axelrod,1868-01-01T00:00:00Z,1946-02-05T00:00:00Z
Abram Deborin,1881-06-16T00:00:00Z,1963-03-08T00:00:00Z
Sergey Kara-Murza,1939-01-23T00:00:00Z,
René Girard,1923-12-25T00:00:00Z,2015-11-04T00:00:00Z
Arturo Ardao,1912-09-27T00:00:00Z,2003-09-22T00:00:00Z
Mehmet Aydın,1943-03-20T00:00:00Z,
Leslie Green,1918-01-01T00:00:00Z,
Xenophon,-429-01-01T00:00:00Z,-353-01-01T00:00:00Z
Sigfrid Gauch,1945-03-09T00:00:00Z,
Marcantonio Zimara,1460-01-01T00:00:00Z,1523-01-01T00:00:00Z
Henryk Struve,1840-06-27T00:00:00Z,1912-03-16T00:00:00Z
François-André-Adrien Pluquet,1716-06-14T00:00:00Z,1790-09-18T00:00:00Z
Jacques Derrida,1930-07-15T00:00:00Z,2004-10-09T00:00:00Z
Agustín García Calvo,1926-10-15T00:00:00Z,2012-11-01T00:00:00Z
Johannes Sløk,1916-04-27T00:00:00Z,2001-06-30T00:00:00Z
Vigdis Songe-Møller,1949-04-01T00:00:00Z,
bieja culia,1870-08-31T00:00:00Z,1952-05-06T00:00:00Z
Henry David Thoreau,1817-07-12T00:00:00Z,1862-05-06T00:00:00Z
Lee Kuan Yew,1923-09-16T00:00:00Z,2015-03-23T00:00:00Z
George Eliot,1819-11-22T00:00:00Z,1880-12-22T00:00:00Z
Harry Houdini,1874-03-24T00:00:00Z,1926-10-31T00:00:00Z
Xenophanes,-569-01-01T00:00:00Z,-474-01-01T00:00:00Z
Criss Angel,1967-12-19T00:00:00Z,
John Dewey,1859-10-20T00:00:00Z,1952-06-01T00:00:00Z
Zeno of Elea,-489-01-01T00:00:00Z,-424-01-01T00:00:00Z
Amartya Sen,1933-11-03T00:00:00Z,
Ayn Rand,1905-02-02T00:00:00Z,1982-03-06T00:00:00Z
Adrian IV,t437160217,1159-09-08T00:00:00Z
John Adolphus Etzler,1791-01-01T00:00:00Z,1846-01-01T00:00:00Z
Franciscus Titelmans,1502-12-01T00:00:00Z,1537-09-17T00:00:00Z
Plotinus,0205-01-01T00:00:00Z,0270-01-01T00:00:00Z
George Boole,1815-11-02T00:00:00Z,1864-12-08T00:00:00Z
Aeneas of Gaza,0450-01-01T00:00:00Z,0534-01-01T00:00:00Z
Poul Martin Møller,1794-03-21T00:00:00Z,1838-03-13T00:00:00Z
Henri Ey,1900-08-10T00:00:00Z,1977-11-08T00:00:00Z
Krunoslav Draganović,1903-10-30T00:00:00Z,1983-07-03T00:00:00Z
Lucius Tarrutius,-100-01-01T00:00:00Z,
Gershom Scholem,1897-12-05T00:00:00Z,1982-02-21T00:00:00Z
Anton Jamnik,1961-07-27T00:00:00Z,
Richard Burthogge,1638-01-01T00:00:00Z,1705-01-01T00:00:00Z
Zacharias Rhetor,0465-01-01T00:00:00Z,0553-01-01T00:00:00Z
Seleucus of Seleucia,-190-01-01T00:00:00Z,-150-01-01T00:00:00Z
Alexis de Tocqueville,1805-07-29T00:00:00Z,1859-04-16T00:00:00Z
Bolesław Prus,1847-08-20T00:00:00Z,1912-05-19T00:00:00Z
Herbert Spencer,1820-04-27T00:00:00Z,1903-12-08T00:00:00Z
Zaki al-Arsuzi,1900-06-01T00:00:00Z,1968-07-02T00:00:00Z
Thomas Carlyle,1795-12-04T00:00:00Z,1881-02-05T00:00:00Z
György Lukács,1885-04-13T00:00:00Z,1971-06-04T00:00:00Z
Theodor W. Adorno,1903-09-11T00:00:00Z,1969-08-06T00:00:00Z
Susan Sontag,1933-01-16T00:00:00Z,2004-12-28T00:00:00Z
José Ortega y Gasset,1883-05-09T00:00:00Z,1955-10-18T00:00:00Z
Dorothy Maud Wrinch,1894-09-12T00:00:00Z,1976-02-11T00:00:00Z
John Anderson,1726-09-26T00:00:00Z,1796-01-13T00:00:00Z
Persaeus,-305-01-01T00:00:00Z,-242-01-01T00:00:00Z
Rémi Brague,1947-09-08T00:00:00Z,
Aristippus the Younger,-400-01-01T00:00:00Z,
Aristobulus of Paneas,,
Aristocles of Messene,0200-01-01T00:00:00Z,
Alonso Gutiérrez,1504-01-01T00:00:00Z,1584-01-01T00:00:00Z
Alonso Gutiérrez,1507-01-01T00:00:00Z,1584-01-01T00:00:00Z
Ariston of Athens,,
Batis of Lampsacus,,-210-01-01T00:00:00Z
Aristos of Ascalon,,
Amafinius,,
Simone Porzio,1496-01-01T00:00:00Z,1554-01-01T00:00:00Z
Judah Messer Leon,,
Eduardo Lourenço,1923-05-23T00:00:00Z,
Eino Kaila,1890-08-09T00:00:00Z,1958-07-31T00:00:00Z
Mykola Amosov,1913-12-19T00:00:00Z,2002-12-12T00:00:00Z
Neagu Djuvara,1916-08-31T00:00:00Z,
Hieronymus Balbus,1460-01-01T00:00:00Z,1535-01-01T00:00:00Z
Józef Maria Bocheński,1902-08-30T00:00:00Z,1995-02-08T00:00:00Z
Yehuda Elkana,1934-01-01T00:00:00Z,2012-09-21T00:00:00Z
Julian der Theurg,0200-01-01T00:00:00Z,0200-01-01T00:00:00Z
Harvey Cox,1929-05-19T00:00:00Z,
Lupus Servatus,0805-01-01T00:00:00Z,0862-01-01T00:00:00Z
Takaaki Yoshimoto,1924-11-25T00:00:00Z,2012-03-16T00:00:00Z
Armand Thiéry,1868-08-06T00:00:00Z,1955-01-12T00:00:00Z
Henri Gouhier,1898-12-05T00:00:00Z,1994-03-31T00:00:00Z
Carlos Vaz Ferreira,1872-10-15T00:00:00Z,1958-01-03T00:00:00Z
Laurent de Premierfait,1380-01-01T00:00:00Z,1418-01-01T00:00:00Z
Michael Löwy,1938-05-06T00:00:00Z,
Richard Baxter,1615-11-12T00:00:00Z,1691-12-08T00:00:00Z
Xavier Zubiri,1898-12-04T00:00:00Z,1983-09-21T00:00:00Z
Renaud Barbaras,1955-01-01T00:00:00Z,
Ernest Fortin,1923-12-17T00:00:00Z,2002-10-22T00:00:00Z
Leo the Mathematician,0790-01-01T00:00:00Z,0869-01-01T00:00:00Z
Ralph McInerny,1929-02-24T00:00:00Z,2010-01-29T00:00:00Z
Elme Marie Caro,1826-03-04T00:00:00Z,1887-07-13T00:00:00Z
Alexander Potebnja,1835-09-22T00:00:00Z,1891-12-11T00:00:00Z
Saneatsu Mushanokōji,1885-05-12T00:00:00Z,1976-04-09T00:00:00Z
Simon Goulart,1543-10-30T00:00:00Z,1628-02-03T00:00:00Z
Maurice Nédoncelle,1905-10-30T00:00:00Z,1976-11-27T00:00:00Z
Henry Hazlitt,1894-11-28T00:00:00Z,1993-07-09T00:00:00Z
Henri Desroche,1914-11-12T00:00:00Z,1994-06-01T00:00:00Z
Paolo Rossi,1923-12-30T00:00:00Z,2012-01-14T00:00:00Z
Max Black,1909-02-24T00:00:00Z,1988-08-27T00:00:00Z
Willem J. Ouweneel,1944-06-02T00:00:00Z,
Firmin Abauzit,1679-11-12T00:00:00Z,1767-03-20T00:00:00Z
Marcello Pera,1943-01-28T00:00:00Z,
Anton Ambschel,1746-12-01T00:00:00Z,1821-07-14T00:00:00Z
Denis the Carthusian,1402-01-01T00:00:00Z,1471-03-12T00:00:00Z
Vincent de Coorebyter,1960-11-18T00:00:00Z,
Marc Sautet,1947-02-25T00:00:00Z,1998-03-03T00:00:00Z
Arnd Pollmann,1970-01-01T00:00:00Z,
Alois Riegl,1858-01-14T00:00:00Z,1905-06-17T00:00:00Z
Luigi Pareyson,1918-02-04T00:00:00Z,1991-09-18T00:00:00Z
Francis Wolff,1950-01-01T00:00:00Z,
Arnim Regenbogen,1939-02-02T00:00:00Z,
Arno Baruzzi,1935-02-17T00:00:00Z,2016-07-20T00:00:00Z
William Nicholson,1753-01-01T00:00:00Z,1815-05-21T00:00:00Z
Arnold Kowalewski,1873-11-27T00:00:00Z,1945-11-16T00:00:00Z
Christian Hermann Weisse,1801-08-10T00:00:00Z,1866-09-19T00:00:00Z
Ye Shi,1150-01-01T00:00:00Z,1223-01-01T00:00:00Z
Li Zhi,1527-12-03T00:00:00Z,1602-01-01T00:00:00Z
Chen Baisha,1428-01-01T00:00:00Z,1500-01-01T00:00:00Z
Kung Te-cheng,1920-02-23T00:00:00Z,2008-10-28T00:00:00Z
Xiong Shili,1885-02-18T00:00:00Z,1968-05-23T00:00:00Z
Jan Jesenius,1566-12-27T00:00:00Z,1621-06-21T00:00:00Z
Li Ao,0772-01-01T00:00:00Z,0841-01-01T00:00:00Z
Simion Bărnuţiu,1808-07-21T00:00:00Z,1864-05-28T00:00:00Z
Paul Kurtz,1925-12-21T00:00:00Z,2012-10-20T00:00:00Z
Harald Høffding,1843-03-11T00:00:00Z,1931-07-02T00:00:00Z
Le Quy Don,1726-01-01T00:00:00Z,1784-01-01T00:00:00Z
Ratramnus,0800-01-01T00:00:00Z,0868-01-01T00:00:00Z
Eric Voegelin,1901-01-03T00:00:00Z,1985-01-19T00:00:00Z
Mao Qiling,1623-01-01T00:00:00Z,1716-01-01T00:00:00Z
Marsilius of Inghen,1335-01-01T00:00:00Z,1396-08-20T00:00:00Z
Pierre Leroux,1797-04-07T00:00:00Z,1871-04-12T00:00:00Z
Jinul,1158-01-01T00:00:00Z,1210-01-01T00:00:00Z
Leo Baeck,1873-05-23T00:00:00Z,1956-11-02T00:00:00Z
Shim Eui-gyeom,1535-01-01T00:00:00Z,1587-01-01T00:00:00Z
Willem Jan Aalders,1870-09-19T00:00:00Z,1945-03-19T00:00:00Z
Pierre Jean George Cabanis,1757-06-05T00:00:00Z,1808-05-05T00:00:00Z
Guiguzi,,
"Jean-Baptiste de Boyer, Marquis d'Argens",1704-06-24T00:00:00Z,1771-01-11T00:00:00Z
Theon of Smyrna,0070-01-01T00:00:00Z,0135-01-01T00:00:00Z
Erich Przywara,1889-10-12T00:00:00Z,1972-09-28T00:00:00Z
Ronald Giere,1938-01-01T00:00:00Z,
Edmond Demolins,1852-01-23T00:00:00Z,1907-07-27T00:00:00Z
Mario Tronti,1931-07-24T00:00:00Z,
Woncheuk,0613-01-01T00:00:00Z,0696-01-01T00:00:00Z
Hermann Samuel Reimarus,1694-12-22T00:00:00Z,1768-03-01T00:00:00Z
Evert Willem Beth,1908-07-07T00:00:00Z,1964-04-12T00:00:00Z
Ray Huang,1918-06-25T00:00:00Z,2000-01-08T00:00:00Z
Jacques Cujas,1522-01-01T00:00:00Z,1590-10-04T00:00:00Z
Ch'ien Mu,1895-07-30T00:00:00Z,1990-08-30T00:00:00Z
Numenius of Apamea,0200-01-01T00:00:00Z,0200-01-01T00:00:00Z
Jean-Marie Guyau,1854-10-28T00:00:00Z,1888-03-31T00:00:00Z
Henry of Ghent,1217-01-01T00:00:00Z,1293-07-06T00:00:00Z
Costanzo Preve,1943-04-14T00:00:00Z,2013-11-23T00:00:00Z
Corine Pelluchon,1967-11-02T00:00:00Z,
Cornélie Pétronille Bénédicte Wouters Vasse,1737-10-14T00:00:00Z,1802-04-03T00:00:00Z
Richard Whately,1787-02-01T00:00:00Z,1863-10-08T00:00:00Z
Corrado Simioni,1934-01-01T00:00:00Z,2008-10-01T00:00:00Z
Czesław Porębski,1945-01-01T00:00:00Z,
D'Arcy Wentworth Thompson,1829-01-01T00:00:00Z,1902-01-26T00:00:00Z
Dag Prawitz,1936-01-01T00:00:00Z,
Daniel Accursi,1947-04-29T00:00:00Z,
Daniel Baril,,
Daniel Charles,1935-11-27T00:00:00Z,2008-08-21T00:00:00Z
Daniel Marc Weinstock,,
Daniel Parrochia,1951-12-09T00:00:00Z,
Daniel Ross,1970-01-01T00:00:00Z,
Daniel of Morley,1140-01-01T00:00:00Z,1210-01-01T00:00:00Z
Danielle Cohen-Levinas,1959-04-21T00:00:00Z,
Dany-Robert Dufour,1947-01-01T00:00:00Z,
Dardo Scavino,1964-03-01T00:00:00Z,
Dariush Ashoori,1938-08-02T00:00:00Z,
David,,
David Banon,1945-03-21T00:00:00Z,
David DeGrazia,1962-07-20T00:00:00Z,
David Derodon,1600-01-01T00:00:00Z,1664-01-01T00:00:00Z
David Ellerman,1943-03-14T00:00:00Z,
David Fordyce,1711-01-01T00:00:00Z,1751-01-01T00:00:00Z
David Williams,1738-12-01T00:00:00Z,1816-06-29T00:00:00Z
Davide Sparti,1961-05-21T00:00:00Z,
Debendranath Tagore,1817-05-15T00:00:00Z,1905-01-19T00:00:00Z
Delfim Santos,1907-11-06T00:00:00Z,1966-09-25T00:00:00Z
Denis Collin,1952-01-01T00:00:00Z,
Denis Vernant,1948-01-01T00:00:00Z,
Denise Riley,1948-01-01T00:00:00Z,
Dimitar Gyuzelov,1902-01-01T00:00:00Z,1945-01-01T00:00:00Z
Dewi Zephaniah Phillips,1934-11-24T00:00:00Z,2006-07-25T00:00:00Z
Didier Franck,1947-01-01T00:00:00Z,
Diogenes of Phoenicia,,
Diogenes of Smyrnae,,
Thayumanavar,1705-01-01T00:00:00Z,1742-01-01T00:00:00Z
Djillali Liabes,1948-01-01T00:00:00Z,1993-03-16T00:00:00Z
Dominique-François Rivard,1697-01-01T00:00:00Z,1778-04-05T00:00:00Z
Dominique Bourg,1953-08-11T00:00:00Z,
Dominique Chateau,1948-08-18T00:00:00Z,
Dominique Dubarle,1907-09-23T00:00:00Z,1987-04-25T00:00:00Z
Dominique Janicaud,1937-11-14T00:00:00Z,2002-08-18T00:00:00Z
Dominique Méda,1962-07-17T00:00:00Z,
Leonard Read,1898-09-26T00:00:00Z,1983-05-14T00:00:00Z
Sultan Walad,1226-05-08T00:00:00Z,1312-11-27T00:00:00Z
Dimitrios Chrysoloras,1340-01-01T00:00:00Z,1416-01-01T00:00:00Z
Demetrius of Scepsis,,
Ebénézer Njoh-Mouellé,1938-09-17T00:00:00Z,
Edmond Thiaudière,1837-03-17T00:00:00Z,1930-01-01T00:00:00Z
Eduardo Hernando Nieto,1968-01-01T00:00:00Z,
Sergius of Reshaina,,0536-01-01T00:00:00Z
Elio Matassi,1945-09-22T00:00:00Z,2013-10-17T00:00:00Z
