source,target
African Spir,Leo Tolstoy
Petr Chelčický,Leo Tolstoy
Aristotle,Avicenna
Hippocrates,Avicenna
Galen,Avicenna
Muhammad,Avicenna
Al-Biruni,Avicenna
Plotinus,Avicenna
Al-Farabi,Avicenna
Muhammad ibn Zakariya al-Razi,Avicenna
Al-Kindi,Avicenna
Abu Zayd al-Balkhi,Avicenna
Ibn Zuhr,Avicenna
Wasil ibn Ata,Avicenna
Plato,Gottfried Wilhelm Leibniz
Aristotle,Gottfried Wilhelm Leibniz
Blaise Pascal,Gottfried Wilhelm Leibniz
Confucius,Gottfried Wilhelm Leibniz
Augustine of Hippo,Gottfried Wilhelm Leibniz
René Descartes,Gottfried Wilhelm Leibniz
Thomas Aquinas,Gottfried Wilhelm Leibniz
Hypatia,Gottfried Wilhelm Leibniz
Johann Amos Comenius,Gottfried Wilhelm Leibniz
Baruch Spinoza,Gottfried Wilhelm Leibniz
Giordano Bruno,Gottfried Wilhelm Leibniz
Thomas Hobbes,Gottfried Wilhelm Leibniz
Christiaan Huygens,Gottfried Wilhelm Leibniz
Anselm of Canterbury,Gottfried Wilhelm Leibniz
Jakob Thomasius,Gottfried Wilhelm Leibniz
Erhard Weigel,Gottfried Wilhelm Leibniz
Jacob Bernoulli,Gottfried Wilhelm Leibniz
Maimonides,Gottfried Wilhelm Leibniz
Plotinus,Gottfried Wilhelm Leibniz
Nicolaus Steno,Gottfried Wilhelm Leibniz
Nicholas of Cusa,Gottfried Wilhelm Leibniz
Giovanni Pico della Mirandola,Gottfried Wilhelm Leibniz
Duns Scotus,Gottfried Wilhelm Leibniz
Pierre Gassendi,Gottfried Wilhelm Leibniz
Ramon Llull,Gottfried Wilhelm Leibniz
Ibn Tufail,Gottfried Wilhelm Leibniz
Jacques-Bénigne Bossuet,Gottfried Wilhelm Leibniz
Nicolas Malebranche,Gottfried Wilhelm Leibniz
Francisco Suárez,Gottfried Wilhelm Leibniz
Georg Wilhelm Friedrich Hegel,Karl Marx
William Shakespeare,Voltaire
Jean Racine,Voltaire
Plato,Voltaire
Isaac Newton,Voltaire
Blaise Pascal,Voltaire
Cicero,Voltaire
Confucius,Voltaire
Miguel de Cervantes,Voltaire
John Locke,Voltaire
Zoroaster,Voltaire
Lucian,Voltaire
Pierre Bayle,Voltaire
Ibn Tufail,Voltaire
Nicolas Malebranche,Voltaire
"Henry St John, 1st Viscount Bolingbroke",Voltaire
Plato,C. S. Lewis
Aristotle,C. S. Lewis
J. R. R. Tolkien,C. S. Lewis
Dante Alighieri,C. S. Lewis
Geoffrey Chaucer,C. S. Lewis
Arthur Balfour,C. S. Lewis
William Butler Yeats,C. S. Lewis
William Blake,C. S. Lewis
H. G. Wells,C. S. Lewis
John Milton,C. S. Lewis
William Morris,C. S. Lewis
G. K. Chesterton,C. S. Lewis
Beatrix Potter,C. S. Lewis
Joseph Butler,C. S. Lewis
Edith Nesbit,C. S. Lewis
H. Rider Haggard,C. S. Lewis
George MacDonald,C. S. Lewis
Evelyn Underhill,C. S. Lewis
"Edward Plunkett, 18th Baron of Dunsany",C. S. Lewis
Thomas Traherne,C. S. Lewis
Immanuel Kant,Georg Wilhelm Friedrich Hegel
Heraclitus,Georg Wilhelm Friedrich Hegel
Friedrich Wilhelm Joseph Schelling,Georg Wilhelm Friedrich Hegel
Isaac Newton,Immanuel Kant
Jean-Jacques Rousseau,Immanuel Kant
David Hume,Immanuel Kant
Christian Wolff,Immanuel Kant
George Berkeley,Immanuel Kant
Francis Hutcheson,Immanuel Kant
Thomas Hobbes,John Locke
Stendhal,Friedrich Nietzsche
William Shakespeare,Friedrich Nietzsche
Plato,Friedrich Nietzsche
Aristotle,Friedrich Nietzsche
Socrates,Friedrich Nietzsche
Fyodor Dostoyevsky,Friedrich Nietzsche
Charles Darwin,Friedrich Nietzsche
Blaise Pascal,Friedrich Nietzsche
Niccolò Machiavelli,Friedrich Nietzsche
Richard Wagner,Friedrich Nietzsche
Johann Wolfgang von Goethe,Friedrich Nietzsche
Jean-Jacques Rousseau,Friedrich Nietzsche
Gottfried Wilhelm Leibniz,Friedrich Nietzsche
Voltaire,Friedrich Nietzsche
Georg Wilhelm Friedrich Hegel,Friedrich Nietzsche
Immanuel Kant,Friedrich Nietzsche
Auguste Comte,Friedrich Nietzsche
Richard Strauss,Friedrich Nietzsche
Edgar Allan Poe,Friedrich Nietzsche
Baruch Spinoza,Friedrich Nietzsche
Zoroaster,Friedrich Nietzsche
Arthur Schopenhauer,Friedrich Nietzsche
William Butler Yeats,Friedrich Nietzsche
Heraclitus,Friedrich Nietzsche
Michel de Montaigne,Friedrich Nietzsche
Democritus,Friedrich Nietzsche
Epicurus,Friedrich Nietzsche
Heinrich Heine,Friedrich Nietzsche
Ralph Waldo Emerson,Friedrich Nietzsche
Oswald Spengler,Friedrich Nietzsche
Stefan George,Friedrich Nietzsche
Johann Joachim Winckelmann,Friedrich Nietzsche
Georg Christoph Lichtenberg,Friedrich Nietzsche
Paul Tillich,Friedrich Nietzsche
Friedrich Albert Lange,Friedrich Nietzsche
Paul Rée,Friedrich Nietzsche
Friedrich Hölderlin,Friedrich Nietzsche
Max Scheler,Friedrich Nietzsche
Max Stirner,Friedrich Nietzsche
Mary Wigman,Friedrich Nietzsche
Stefan Zweig,Friedrich Nietzsche
Adam Mickiewicz,Friedrich Nietzsche
Empedocles,Friedrich Nietzsche
Parmenides,Friedrich Nietzsche
Adalbert Stifter,Friedrich Nietzsche
Protagoras,Friedrich Nietzsche
Giacomo Leopardi,Friedrich Nietzsche
Paul Bourget,Friedrich Nietzsche
Sextus Empiricus,Friedrich Nietzsche
François de La Rochefoucauld,Friedrich Nietzsche
Hippolyte Taine,Friedrich Nietzsche
Ruđer Josip Bošković,Friedrich Nietzsche
Lev Shestov,Friedrich Nietzsche
Baltasar Gracián,Friedrich Nietzsche
Bernard Mandeville,Friedrich Nietzsche
African Spir,Friedrich Nietzsche
Jean-Marie Guyau,Friedrich Nietzsche
Martin Heidegger,Jean-Paul Sartre
Søren Kierkegaard,Ludwig Wittgenstein
Bertrand Russell,Ludwig Wittgenstein
Gottlob Frege,Ludwig Wittgenstein
Plato,Thomas Aquinas
Aristotle,Thomas Aquinas
Cicero,Thomas Aquinas
Avicenna,Thomas Aquinas
Augustine of Hippo,Thomas Aquinas
Paul,Thomas Aquinas
Al-Ghazali,Thomas Aquinas
Averroes,Thomas Aquinas
Anselm of Canterbury,Thomas Aquinas
Edmund Husserl,Adolf Reinach
Edmund Husserl,Moritz Geiger
Ada Lovelace,Charles Babbage
Plato,Ralph Waldo Emerson
Georg Wilhelm Friedrich Hegel,Ralph Waldo Emerson
Michel de Montaigne,Ralph Waldo Emerson
Emmanuel Swedenborg,Ralph Waldo Emerson
Plato,Martin Heidegger
Aristotle,Martin Heidegger
Søren Kierkegaard,Martin Heidegger
Immanuel Kant,Martin Heidegger
Friedrich Nietzsche,Martin Heidegger
Thomas Aquinas,Martin Heidegger
Heraclitus,Martin Heidegger
Anaximander,Martin Heidegger
Edmund Husserl,Martin Heidegger
Parmenides,Martin Heidegger
Duns Scotus,Martin Heidegger
Bernard Bolzano,Carl Stumpf
Bernard Bolzano,Edmund Husserl
Christian Wolff,Mikhail Lomonosov
Ludwig Wittgenstein,Karl-Otto Apel
Martin Heidegger,Karl-Otto Apel
Jürgen Habermas,Karl-Otto Apel
Charles Sanders Peirce,Karl-Otto Apel
Jesus Christ,Hannah Arendt
Plato,Hannah Arendt
Aristotle,Hannah Arendt
Franz Kafka,Hannah Arendt
Socrates,Hannah Arendt
Niccolò Machiavelli,Hannah Arendt
Søren Kierkegaard,Hannah Arendt
Augustine of Hippo,Hannah Arendt
Karl Marx,Hannah Arendt
Paul,Hannah Arendt
Immanuel Kant,Hannah Arendt
Montesquieu,Hannah Arendt
Martin Heidegger,Hannah Arendt
Hans Jonas,Hannah Arendt
Edmund Husserl,Hannah Arendt
Walter Benjamin,Hannah Arendt
Karl Jaspers,Hannah Arendt
Carl Schmitt,Hannah Arendt
Alexis de Tocqueville,Hannah Arendt
Edmund Burke,Hannah Arendt
G. K. Chesterton,Hannah Arendt
Duns Scotus,Hannah Arendt
Bernard Bolzano,Gottlob Frege
Immanuel Kant,Friedrich Wilhelm Joseph Schelling
Baruch Spinoza,Friedrich Wilhelm Joseph Schelling
Johann Gottlieb Fichte,Friedrich Wilhelm Joseph Schelling
George Berkeley,David Hume
Plato,Arthur Schopenhauer
Immanuel Kant,Arthur Schopenhauer
Aristotle,Averroes
Nae Ionescu,Mircea Eliade
Plato,Henri Bergson
Aristotle,Henri Bergson
Albert Einstein,Henri Bergson
Charles Darwin,Henri Bergson
Blaise Pascal,Henri Bergson
Gottfried Wilhelm Leibniz,Henri Bergson
René Descartes,Henri Bergson
Immanuel Kant,Henri Bergson
Baruch Spinoza,Henri Bergson
David Hume,Henri Bergson
George Berkeley,Henri Bergson
Zeno of Elea,Henri Bergson
Plotinus,Henri Bergson
Herbert Spencer,Henri Bergson
Claude Bernard,Henri Bergson
Félix Ravaisson-Mollien,Henri Bergson
Jules Lachelier,Henri Bergson
Aristippus,Epicurus
Galileo Galilei,Robert Boyle
René Descartes,Robert Boyle
Francis Bacon,Robert Boyle
Otto von Guericke,Robert Boyle
Ibn Tufail,Robert Boyle
Cornelis Drebbel,Robert Boyle
Karl Marx,Michel Foucault
Sigmund Freud,Michel Foucault
Immanuel Kant,Michel Foucault
Friedrich Nietzsche,Michel Foucault
Martin Heidegger,Michel Foucault
Claude Lévi-Strauss,Michel Foucault
Louis Althusser,Michel Foucault
Georges Bataille,Michel Foucault
Gaston Bachelard,Michel Foucault
Maurice Blanchot,Michel Foucault
Georges Canguilhem,Michel Foucault
Gayle Rubin,Michel Foucault
Pierre Hadot,Michel Foucault
Jean-Toussaint Desanti,Michel Foucault
Leonhard Euler,Pierre-Simon Laplace
Martin Heidegger,Oskar Becker
Edmund Husserl,Oskar Becker
Kuno Fischer,Bruno Bauch
Heinrich Rickert,Bruno Bauch
Wilhelm Windelband,Bruno Bauch
Edmund Husserl,Alexander Pfänder
Martin Heidegger,Hans-Georg Gadamer
Gottfried Wilhelm Leibniz,Christian Wolff
Albert Einstein,Rudolf Carnap
Immanuel Kant,Rudolf Carnap
Ludwig Wittgenstein,Rudolf Carnap
Franz Brentano,Rudolf Carnap
Edmund Husserl,Rudolf Carnap
Gottlob Frege,Rudolf Carnap
Ernst Mach,Rudolf Carnap
Alfred Tarski,Rudolf Carnap
Edmund Husserl,Max Scheler
Romanticism,Friedrich Schleiermacher
Pietism,Friedrich Schleiermacher
Alan Mathison Turing,Saul Kripke
Ludwig Wittgenstein,Saul Kripke
David Hume,Saul Kripke
Gottlob Frege,Saul Kripke
Haskell Curry,Saul Kripke
Alfred Tarski,Saul Kripke
Willard Van Orman Quine,Saul Kripke
Hilary Putnam,Saul Kripke
Michael Dummett,Saul Kripke
Clarence Irving Lewis,Saul Kripke
Rumi,Abdolkarim Soroush
Wilhelm Wundt,G. Stanley Hall
René Descartes,Nicolas Malebranche
Karl Marx,Antonio Negri
Baruch Spinoza,Antonio Negri
Michel Foucault,Antonio Negri
Gilles Deleuze,Antonio Negri
Michel Foucault,Giorgio Agamben
Immanuel Kant,Donald Davidson
Ludwig Wittgenstein,Donald Davidson
Baruch Spinoza,Donald Davidson
Rudolf Carnap,Donald Davidson
Alfred North Whitehead,Donald Davidson
Alfred Tarski,Donald Davidson
Willard Van Orman Quine,Donald Davidson
Hilary Putnam,Donald Davidson
G. E. M. Anscombe,Donald Davidson
Saul Kripke,Donald Davidson
Paul Grice,Donald Davidson
Frank P. Ramsey,Donald Davidson
Michael Dummett,Donald Davidson
Isaac Newton,Jonathan Edwards
John Locke,Jonathan Edwards
Ilse Aichinger,Ingeborg Bachmann
Henrik Ibsen,Otto Weininger
Ernst Mach,Otto Neurath
Franz Kafka,Hugo Bergmann
Albert Einstein,Hugo Bergmann
Immanuel Kant,Hugo Bergmann
Max Brod,Hugo Bergmann
Ernst Cassirer,Hugo Bergmann
Franz Brentano,Hugo Bergmann
Edmund Husserl,Hugo Bergmann
Hermann Cohen,Hugo Bergmann
Franz Rosenzweig,Hugo Bergmann
Rudolf Joseph Lorenz Steiner,Hugo Bergmann
Martin Buber,Hugo Bergmann
Bernard Bolzano,Hugo Bergmann
Sri Aurobindo,Hugo Bergmann
Emil Utitz,Hugo Bergmann
John Locke,George Berkeley
Nicolas Malebranche,George Berkeley
Michel Foucault,Nancy Fraser
Albert Einstein,Gaston Bachelard
Friedrich Nietzsche,Gaston Bachelard
Carl Jung,Gaston Bachelard
Plato,Proclus
Aristotle,Proclus
Plotinus,Proclus
Plutarch of Athens,Proclus
Syrianus,Proclus
Aristotle,J. L. Austin
Alain Finkielkraut,Élisabeth Badinter
Plato,Émile Chartier
Aristotle,Émile Chartier
René Descartes,Émile Chartier
Immanuel Kant,Émile Chartier
Auguste Comte,Émile Chartier
Jules Lagneau,Émile Chartier
Karl Marx,Étienne Balibar
Louis Althusser,Étienne Balibar
Eugène Dupréel,Chaïm Perelman
Henrik Ibsen,Georg Brandes
Thomas Hobbes,Kurt Baier
Gilbert Ryle,Kurt Baier
Stephen Toulmin,Kurt Baier
Ludwig Wittgenstein,Gustav Bergmann
Bertrand Russell,Gustav Bergmann
Vienna Circle,Gustav Bergmann
G. E. Moore,Gustav Bergmann
Georg Wilhelm Friedrich Hegel,J. M. E. McTaggart
Herman Melville,Lewis Mumford
Thorstein Veblen,Lewis Mumford
Patrick Geddes,Lewis Mumford
Ludwig Wittgenstein,Stephen Toulmin
Norwood Russell Hanson,Stephen Toulmin
Uchimura Kanzō,Ham Seok-heon
Aristotle,Muhammad Iqbal
Johann Wolfgang von Goethe,Muhammad Iqbal
Leo Tolstoy,Muhammad Iqbal
Georg Wilhelm Friedrich Hegel,Muhammad Iqbal
Friedrich Nietzsche,Muhammad Iqbal
Muhammad,Muhammad Iqbal
Henri Bergson,Muhammad Iqbal
Rumi,Muhammad Iqbal
Abul Ala Maududi,Muhammad Iqbal
Bayazid Bastami,Muhammad Iqbal
Ahmad Sirhindi,Muhammad Iqbal
Israr Ahmed,Muhammad Iqbal
Thomas Walker Arnold,Muhammad Iqbal
Fyodor Dostoyevsky,Sergei Bulgakov
Leo Tolstoy,Sergei Bulgakov
Karl Marx,Sergei Bulgakov
Friedrich Wilhelm Joseph Schelling,Sergei Bulgakov
Vladimir Solovyov,Sergei Bulgakov
John Gough,William Whewell
Plato,Bernard Stiegler
Aristotle,Bernard Stiegler
Sigmund Freud,Bernard Stiegler
Friedrich Nietzsche,Bernard Stiegler
Martin Heidegger,Bernard Stiegler
Edmund Husserl,Bernard Stiegler
Jacques Derrida,Bernard Stiegler
Gilles Deleuze,Bernard Stiegler
Paul Valéry,Bernard Stiegler
André Leroi-Gourhan,Bernard Stiegler
Gilbert Simondon,Bernard Stiegler
Gérard Granel,Bernard Stiegler
Bertrand Russell,C. D. Broad
Alfred North Whitehead,C. D. Broad
G. E. Moore,C. D. Broad
Max Weber,Catherine Colliot-Thélène
Gustav Fechner,Charles Hartshorne
Alfred North Whitehead,Charles Hartshorne
Josiah Royce,Charles Hartshorne
Friedrich Hayek,Carlo Lottieri
Vilfredo Pareto,Carlo Lottieri
Hans-Hermann Hoppe,Carlo Lottieri
Robert Nozick,Carlo Lottieri
Gaetano Mosca,Carlo Lottieri
Bruno Leoni,Carlo Lottieri
Antoine Destutt de Tracy,Pierre Laromiguière
Bernard Bolzano,Kevin Mulligan
Blaise Pascal,Antoine Arnauld
John Calvin,Alvin Plantinga
Thomas Paine,Mary Wollstonecraft
Immanuel Kant,Johann Gottlieb Fichte
Karl Leonhard Reinhold,Johann Gottlieb Fichte
Salomon Maimon,Johann Gottlieb Fichte
Aristotle,Boethius
Seneca,Boethius
Augustine of Hippo,Boethius
Plotinus,Boethius
Porphyry,Boethius
Jean-Jacques Rousseau,Johann Heinrich Pestalozzi
Walter Benjamin,Norbert Bolz
Marshall McLuhan,Norbert Bolz
Jacob Taubes,Norbert Bolz
Plato,Plutarch of Athens
Aristotle,Plutarch of Athens
John Anderson,David Malet Armstrong
Kurt Baier,David Gauthier
Democritus,Nausiphanes
Alonzo Church,Leon Henkin
George Berkeley,Ernst von Glasersfeld
Karl Marx,Svetozar Marković
Nikolay Chernyshevsky,Svetozar Marković
Gautama Buddha,Marpa Lotsawa
Naropa,Marpa Lotsawa
G. E. Moore,Samuel Alexander
Thomas Hill Green,Samuel Alexander
C. Lloyd Morgan,Samuel Alexander
Hannah Arendt,Alain Finkielkraut
Franz Rosenzweig,Alain Finkielkraut
Claude Lévi-Strauss,Alain Finkielkraut
Alexis de Tocqueville,Alain Finkielkraut
Emmanuel Levinas,Alain Finkielkraut
Ernest Renan,Alain Finkielkraut
Charles Péguy,Alain Finkielkraut
Yuri Lotman,Alexander Piatigorsky
Merab Mamardashvili,Alexander Piatigorsky
Bidia Dandaron,Alexander Piatigorsky
Gilles Deleuze,Manuel De Landa
Fernand Braudel,Manuel De Landa
Aristippus,Anniceris
Meister Eckhart,Frithjof Schuon
Gregory Palamas,Frithjof Schuon
René Guénon,Frithjof Schuon
Ahmad al-Alawi,Frithjof Schuon
Blaise Pascal,William James
Ralph Waldo Emerson,William James
Heraclitus,Parmenides
Georg Wilhelm Friedrich Hegel,William Alston
Ludwig Wittgenstein,William Alston
Alfred North Whitehead,William Alston
J. L. Austin,William Alston
Thomas Reid,William Alston
Wilfrid Sellars,William Alston
Karl Marx,Lyubov Axelrod
Friedrich Engels,Lyubov Axelrod
Georgi Plekhanov,Lyubov Axelrod
Carlos Vaz Ferreira,Arturo Ardao
Plato,Jacques Derrida
Jean-Jacques Rousseau,Jacques Derrida
James Joyce,Jacques Derrida
Karl Marx,Jacques Derrida
Sigmund Freud,Jacques Derrida
Friedrich Nietzsche,Jacques Derrida
Ferdinand de Saussure,Jacques Derrida
Martin Heidegger,Jacques Derrida
Edmund Husserl,Jacques Derrida
Claude Lévi-Strauss,Jacques Derrida
Emmanuel Levinas,Jacques Derrida
Aristotle,Stefan Molyneux
Socrates,Stefan Molyneux
Ayn Rand,Stefan Molyneux
Nathaniel Branden,Stefan Molyneux
Harry Browne,Stefan Molyneux
Karl Marx,Sidney Hook
Bertrand Russell,Sidney Hook
John Dewey,Sidney Hook
Morris Raphael Cohen,Sidney Hook
Blaise Pascal,Léon Brunschvicg
Albertus Magnus,Thomas Aquinas
Boethius,Thomas Aquinas
Maimonides,Thomas Aquinas
Al-Kindi,Thomas Aquinas
Johannes Scotus Eriugena,Thomas Aquinas
Thales,Pythagoras
Anaximander,Pythagoras
Pherecydes of Syros,Pythagoras
Aristotle,Ibn al-Ḥaytham
Plato,Hypatia
Aristotle,Hypatia
Ptolemy,Hypatia
Plotinus,Hypatia
Diophantus,Hypatia
Theon of Alexandria,Hypatia
Louis Gabriel Ambroise de Bonald,Auguste Comte
Jorge Luis Borges,Umberto Eco
James Joyce,Umberto Eco
Immanuel Kant,Umberto Eco
Thomas Aquinas,Umberto Eco
Arthur Conan Doyle,Umberto Eco
Charles Sanders Peirce,Umberto Eco
Vilfredo Pareto,Alfred Marshall
Léon Walras,Alfred Marshall
William Stanley Jevons,Alfred Marshall
Henry Sidgwick,Alfred Marshall
Jules Dupuit,Alfred Marshall
Georg Wilhelm Friedrich Hegel,Max Stirner
Charles Baudelaire,Walter Benjamin
Johann Wolfgang von Goethe,Walter Benjamin
Karl Marx,Walter Benjamin
Bertolt Brecht,Walter Benjamin
György Lukács,Walter Benjamin
Nicolas Malebranche,Jonathan Edwards
Cambridge Platonists,Jonathan Edwards
Aristotle,Mortimer Jerome Adler
John Locke,Mortimer Jerome Adler
Thomas Aquinas,Mortimer Jerome Adler
Blaise Pascal,Pierre Duhem
William Shakespeare,Lev Shestov
Fyodor Dostoyevsky,Lev Shestov
Anton Chekhov,Lev Shestov
Søren Kierkegaard,Lev Shestov
Leo Tolstoy,Lev Shestov
Friedrich Nietzsche,Lev Shestov
Martin Luther,Lev Shestov
Baruch Spinoza,Lev Shestov
Heinrich Heine,Lev Shestov
Mikhail Lermontov,Lev Shestov
Noam Chomsky,Yehoshua Bar-Hillel
Abraham Fraenkel,Yehoshua Bar-Hillel
Rudolf Carnap,Yehoshua Bar-Hillel
Ludwig Wittgenstein,John Wisdom
Henri Bergson,Coriolano Alberini
Aristippus,Theodorus the Atheist
Henrik Ibsen,Raymond Williams
Ralph Waldo Emerson,Henry David Thoreau
Parmenides,Zeno of Elea
Aristotle,Ayn Rand
Blaise Pascal,Alexis de Tocqueville
Karl Marx,Theodor W. Adorno
Georg Wilhelm Friedrich Hegel,Theodor W. Adorno
Friedrich Nietzsche,Theodor W. Adorno
Walter Benjamin,Theodor W. Adorno
Max Horkheimer,Theodor W. Adorno
Martin Heidegger,Emmanuel Levinas
Okey Ndibe,Chinua Achebe
Karl Marx,Leszek Kołakowski
Georg Wilhelm Friedrich Hegel,Leszek Kołakowski
Immanuel Kant,Leszek Kołakowski
Friedrich Engels,Leszek Kołakowski
Edmund Husserl,Leszek Kołakowski
Johann Amos Comenius,Joseph Priestley
Jeremy Bentham,Joseph Priestley
Karl Marx,Raymond Aron
Max Weber,Raymond Aron
Montesquieu,Raymond Aron
Wilhelm Dilthey,Raymond Aron
Georg Simmel,Raymond Aron
Heinrich Rickert,Raymond Aron
Alexis de Tocqueville,Raymond Aron
Aristippus,Aristippus the Younger
Søren Kierkegaard,Hubert Dreyfus
Michel Foucault,Hubert Dreyfus
Martin Heidegger,Hubert Dreyfus
Maurice Merleau-Ponty,Hubert Dreyfus
Dagfinn Føllesdal,Hubert Dreyfus
Karl Marx,Kostas Axelos
Georg Wilhelm Friedrich Hegel,Kostas Axelos
Heraclitus,Kostas Axelos
Martin Heidegger,Kostas Axelos
Svetozar Marković,Ljubodrag Simonović
Aristotle,Edmund Burke
Cicero,Edmund Burke
Church Fathers,Edmund Burke
Johann Wolfgang von Goethe,Friedrich Heinrich Jacobi
