Robert Kurz
Leonard Nelson
Lorenz Christoph Mizler
Carl Friedrich von Weizsäcker
Alfred Baeumler
Philip Marheineke
Ernst Laas
Erich Adickes
Dieter Henrich
Friedrich Wilhelm Foerster
Adolf Reinach
Friedrich Meinecke
Rudolf Bahro
Salomon Munk
Friedrich Karl Forberg
Gotthilf Heinrich von Schubert
Eugen Rosenstock-Huessy
Thomas Pogge
Manegold of Lautenbach
Rudolf Haym
Thomas Metzinger
Ludwig Geiger
Moritz Wilhelm Drobisch
Robert Alexy
Johann Heinrich Abicht
Edgar Bauer
Otto Friedrich Bollnow
Jakob Thomasius
Hedwig Conrad-Martius
Friedrich Hielscher
Emil Fackenheim
Werner Hamacher
Walther Kranz
Karl Joel
Gotthard Günther
Dietrich Tiedemann
Ernst Tugendhat
Grete Hermann
Eduard Gans
Heinrich Paulus
Albert Schwegler
Hermann Friedmann
Heinrich Landesmann
Carl Göring
Adam Karl August von Eschenmayer
Heinrich Ahrens
Johann Joachim Spalding
Hans Lenk
Karl Wilhelm Ferdinand Solger
Jakob Sigismund Beck
Martin Knutzen
Kurt Riezler
Joseph Kleutgen
Hildegard of Bingen
Joachim Jungius
Hermann Weyl
Johann Zahn
Éric Weil
Moritz Geiger
Herman Schell
Otfried Höffe
Johann Jakob Engel
Christoph Meiners
Vittorio Hösle
Wilhelm Homberg
Joachim Ritter
Heinrich Blücher
Friedrich Immanuel Niethammer
Bernhard Waldenfels
George Bălan
Georg Bernhard Bilfinger
Johann Jakob Brucker
Wolfgang Welsch
Christoph von Sigwart
Albrecht Wellmer
Paul Ludwig Landsberg
Herman Nohl
Georg Andreas Gabler
Johannes Clauberg
Oskar Becker
Hermann Friedrich Wilhelm Hinrichs
Rudolf Pannwitz
Georg Klaus
Bruno Bauch
Alexander Pfänder
Markus Herz
Nicolaus Hieronymus Gundling
Rudolf Schottlaender
Carl Ludwig Schleich
Gerda Alexander
Gustav Kafka
Karlfried Graf Dürckheim
Friedrich Christian Baumeister
Georg Misch
Paul Lorenzen
Hans Freyer
Elmar Altvater
Karl von Prantl
Robert Todd Carroll
Arcesilaus
Johannes Volkelt
Günther Jakobs
Theodor Mundt
Francesco Acri
Tom Beauchamp
Benno Erdmann
Johann Georg Gichtel
Rüdiger Bubner
Heinrich Bernhard Oppenheim
Julius Guttmann
Lazarus Geiger
Max Baginski
Tim Maudlin
Felix Krueger
Johann Sturm
Ferdinand Lassall
Eduard Bernstein
Karl Löwith
Norbert Elias
Wilhelm Wundt
Alfred Rosenberg
Alfred Läpple
Franz Jakob Clemens
Julius Bahnsen
Philipp Mainländer
Paul Barth
Wilhelm Braune
Friedrich von Gottl-Ottlilienfeld
Eugen Herrigel
Dietrich Bonhoeffer
Hans-Georg Gadamer
Jürgen Habermas
Georg Cantor
Ludwig Feuerbach
Johann Christoph Gottsched
Johann Georg Hamann
Nicolai Hartmann
Paul Natorp
Karl Jaspers
Christian Wolff
Wilhelm Schuppe
Franz Xaver von Baader
Karl Vogt
Erich Rothacker
Richard Avenarius
Alexander Gottlieb Baumgarten
Hans Vaihinger
Rudolf Carnap
Max Scheler
Helmuth Plessner
E. F. Schumacher
Meister Eckhart
Johannes Agricola
Richard Dedekind
Heinrich Cornelius Agrippa
Friedrich Schleiermacher
Max Dessoir
Eugen Dühring
Karl Kautsky
Johann Friedrich Herbart
Hans-Hermann Hoppe
Hermann Cohen
Franz Rosenzweig
Max Stirner
Ernst Jünger
Matthias Jakob Schleiden
Rudolf Otto
Edith Stein
Max Horkheimer
Georg Simmel
Stanisław Brzozowski
Bruno Bauer
Gustav Fechner
Ralf Dahrendorf
Moses Mendelssohn
Heinrich Rickert
Jakob Böhme
Wilhelm Windelband
Karl Robert Eduard von Hartmann
Golo Mann
Leo Strauss
Carl Schmitt
Immanuel Hermann Fichte
Hans Morgenthau
Friedrich Pollock
Ehrenfried Walther von Tschirnhaus
Gerhard J. Bellinger
Gottlob Ernst Schulze
Valentin Weigel
Jakob Friedrich Fries
Jakob Frohschammer
Johann Joachim Lange
Friedrich Eduard Beneke
Leopold Löwenheim
Hermann Conring
Hans Cornelius
Horst Matthai Quelle
Hermann Bonitz
Georg Anton Friedrich Ast
Max Müller
Ambrosius Blarer
Wilhelm von Humboldt
Francis Lieber
Ernst Meumann
Manfred Frank
Friedrich Ueberweg
Friedrich Dessauer
Gustav Teichmüller
Hans Heinz Holz
Walter Biemel
Heinz Heimsoeth
Burghart Schmidt
Michael Frede
Ernst Bergmann
Ferdinand Fellmann
Herbert Schnädelbach
Wilhelm Weischedel
Rudolf Joseph Lorenz Steiner
Tomáš Garrigue Masaryk
Arthur Koestler
